MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20221101,Southeast,38.33,61.67,24.55,7.68,0.00,0.00,2022-11-01,2022-11-07,1
20221101,West,36.00,64.00,49.30,31.69,12.93,1.69,2022-11-01,2022-11-07,1
20221025,South,4.25,95.75,81.71,46.28,17.80,3.51,2022-10-25,2022-10-31,1
20221025,High Plains,6.48,93.52,73.76,40.79,20.33,7.45,2022-10-25,2022-10-31,1
20221025,Southeast,48.46,51.54,21.04,6.88,0.00,0.00,2022-10-25,2022-10-31,1
20221025,West,35.91,64.09,49.34,32.03,13.08,1.69,2022-10-25,2022-10-31,1
20221025,Midwest,17.60,82.40,50.93,17.38,3.53,0.02,2022-10-25,2022-10-31,1
20221025,Northeast,81.30,18.70,2.26,0.37,0.00,0.00,2022-10-25,2022-10-31,1
20221018,Southeast,57.50,42.50,13.85,1.47,0.00,0.00,2022-10-18,2022-10-24,1
20221018,Midwest,21.74,78.26,43.38,15.33,3.51,0.36,2022-10-18,2022-10-24,1
20221018,Northeast,84.49,15.51,4.61,0.44,0.00,0.00,2022-10-18,2022-10-24,1
20221018,South,5.56,94.44,73.13,43.36,19.80,4.66,2022-10-18,2022-10-24,1
20221018,West,36.22,63.78,49.06,31.79,12.97,1.75,2022-10-18,2022-10-24,1
20221018,High Plains,7.81,92.19,71.40,39.45,18.99,6.88,2022-10-18,2022-10-24,1
20221011,Northeast,78.68,21.32,9.24,1.68,0.14,0.00,2022-10-11,2022-10-17,1
20221011,South,5.96,94.04,65.91,42.45,21.72,4.62,2022-10-11,2022-10-17,1
20221011,High Plains,9.50,90.50,68.63,37.01,16.87,6.37,2022-10-11,2022-10-17,1
20221011,Midwest,25.16,74.84,31.44,11.48,3.38,0.36,2022-10-11,2022-10-17,1
20221011,West,36.35,63.65,48.36,31.42,12.70,1.75,2022-10-11,2022-10-17,1
20221011,Southeast,57.37,42.63,10.96,0.56,0.00,0.00,2022-10-11,2022-10-17,1
20221004,Southeast,76.81,23.19,3.93,0.00,0.00,0.00,2022-10-04,2022-10-10,1
20221004,South,11.16,88.84,59.40,40.80,18.13,3.19,2022-10-04,2022-10-10,1
20221004,High Plains,10.00,90.00,65.67,34.58,15.58,6.22,2022-10-04,2022-10-10,1
20221004,West,36.42,63.58,49.29,31.85,12.93,1.77,2022-10-04,2022-10-10,1
20221004,Midwest,36.24,63.76,24.50,9.74,2.95,0.27,2022-10-04,2022-10-10,1
20221004,Northeast,73.82,26.18,10.61,3.20,0.14,0.00,2022-10-04,2022-10-10,1
20220927,Southeast,66.45,33.55,5.38,0.21,0.00,0.00,2022-09-27,2022-10-03,1
20220927,South,18.74,81.26,52.10,32.52,13.33,2.83,2022-09-27,2022-10-03,1
20220927,West,35.19,64.81,49.67,32.06,12.96,1.76,2022-09-27,2022-10-03,1
20220927,Northeast,69.23,30.77,12.95,3.83,0.14,0.00,2022-09-27,2022-10-03,1
20220927,High Plains,7.60,92.40,66.34,33.68,15.17,5.92,2022-09-27,2022-10-03,1
20220927,Midwest,53.19,46.81,19.89,5.78,1.25,0.27,2022-09-27,2022-10-03,1
20220920,Midwest,62.01,37.99,13.98,4.50,0.62,0.00,2022-09-20,2022-09-26,1
20220920,South,37.28,62.72,49.45,29.10,11.40,2.13,2022-09-20,2022-09-26,1
20220920,West,36.46,63.54,49.57,32.59,12.26,1.76,2022-09-20,2022-09-26,1
20220920,Northeast,52.08,47.92,18.65,7.37,0.27,0.00,2022-09-20,2022-09-26,1
20220920,High Plains,8.94,91.06,63.04,32.79,15.36,5.03,2022-09-20,2022-09-26,1
20220920,Southeast,83.28,16.72,3.52,0.21,0.00,0.00,2022-09-20,2022-09-26,1
20220913,Midwest,67.44,32.56,10.28,3.85,0.76,0.00,2022-09-13,2022-09-19,1
20220913,High Plains,11.28,88.72,52.10,29.93,12.90,3.67,2022-09-13,2022-09-19,1
20220913,West,38.45,61.55,48.01,32.84,12.15,1.76,2022-09-13,2022-09-19,1
20220913,Northeast,49.45,50.55,20.08,8.25,0.49,0.00,2022-09-13,2022-09-19,1
20220913,South,38.47,61.53,48.25,27.96,10.71,0.72,2022-09-13,2022-09-19,1
20220913,Southeast,85.20,14.80,0.93,0.21,0.00,0.00,2022-09-13,2022-09-19,1
20220906,Northeast,42.74,57.26,19.87,9.23,0.49,0.00,2022-09-06,2022-09-12,1
20220906,West,40.50,59.50,46.04,32.90,12.66,1.77,2022-09-06,2022-09-12,1
20220906,High Plains,19.77,80.23,51.57,27.78,12.54,3.42,2022-09-06,2022-09-12,1
20220906,South,37.36,62.64,49.94,28.71,11.03,0.74,2022-09-06,2022-09-12,1
20220906,Southeast,82.19,17.81,1.27,0.00,0.00,0.00,2022-09-06,2022-09-12,1
20220906,Midwest,71.59,28.41,10.10,3.23,0.37,0.00,2022-09-06,2022-09-12,1
20220830,High Plains,20.55,79.45,50.11,27.31,11.14,2.71,2022-08-30,2022-09-05,1
20220830,South,30.09,69.91,58.88,41.17,19.60,2.96,2022-08-30,2022-09-05,1
20220830,Midwest,71.91,28.09,10.26,3.07,0.36,0.00,2022-08-30,2022-09-05,1
20220830,Northeast,40.91,59.09,23.76,11.00,1.98,0.00,2022-08-30,2022-09-05,1
20220830,West,39.94,60.06,45.70,32.18,13.14,1.78,2022-08-30,2022-09-05,1
20220830,Southeast,86.88,13.12,1.32,0.05,0.00,0.00,2022-08-30,2022-09-05,1
20220823,West,40.77,59.23,45.81,33.08,13.79,1.79,2022-08-23,2022-08-29,1
20220823,Southeast,87.78,12.22,0.87,0.08,0.00,0.00,2022-08-23,2022-08-29,1
20220823,South,23.17,76.83,65.01,51.63,28.35,6.56,2022-08-23,2022-08-29,1
20220823,Northeast,49.73,50.27,22.58,10.20,2.48,0.00,2022-08-23,2022-08-29,1
20220823,Midwest,69.95,30.05,12.85,3.40,0.45,0.00,2022-08-23,2022-08-29,1
20220823,High Plains,22.91,77.09,51.46,26.54,9.55,2.47,2022-08-23,2022-08-29,1
20220816,South,15.27,84.73,73.19,59.94,39.32,13.85,2022-08-16,2022-08-22,1
20220816,West,41.36,58.64,46.79,33.59,14.93,1.81,2022-08-16,2022-08-22,1
20220816,Southeast,79.61,20.39,1.90,0.10,0.00,0.00,2022-08-16,2022-08-22,1
20220816,Northeast,49.35,50.65,21.83,9.71,2.48,0.00,2022-08-16,2022-08-22,1
20220816,High Plains,21.98,78.02,51.23,26.85,9.47,2.56,2022-08-16,2022-08-22,1
20220816,Midwest,66.77,33.23,14.50,5.24,0.57,0.00,2022-08-16,2022-08-22,1
20220809,South,12.73,87.27,77.35,62.15,41.32,14.78,2022-08-09,2022-08-15,1
20220809,High Plains,26.25,73.75,53.08,28.40,10.00,2.44,2022-08-09,2022-08-15,1
20220809,West,42.68,57.32,47.22,35.77,16.73,2.27,2022-08-09,2022-08-15,1
20220809,Northeast,50.09,49.91,18.80,5.76,1.15,0.00,2022-08-09,2022-08-15,1
20220809,Midwest,66.35,33.65,14.99,5.74,0.72,0.00,2022-08-09,2022-08-15,1
20220809,Southeast,78.51,21.49,1.76,0.14,0.00,0.00,2022-08-09,2022-08-15,1
20220802,South,9.87,90.13,80.19,64.69,35.88,10.76,2022-08-02,2022-08-08,1
20220802,High Plains,25.77,74.23,53.17,26.52,8.38,1.31,2022-08-02,2022-08-08,1
20220802,Northeast,51.08,48.92,23.37,5.36,0.00,0.00,2022-08-02,2022-08-08,1
20220802,Midwest,61.47,38.53,18.00,7.12,2.39,0.00,2022-08-02,2022-08-08,1
20220802,West,42.01,57.99,47.53,36.60,19.14,4.02,2022-08-02,2022-08-08,1
20220802,Southeast,78.32,21.68,2.29,0.16,0.00,0.00,2022-08-02,2022-08-08,1
20220726,High Plains,27.22,72.78,56.12,27.24,8.45,1.28,2022-07-26,2022-08-01,1
20220726,West,37.33,62.67,48.92,37.30,19.48,4.35,2022-07-26,2022-08-01,1
20220726,Southeast,69.64,30.36,3.71,0.16,0.00,0.00,2022-07-26,2022-08-01,1
20220726,Midwest,58.50,41.50,15.26,6.98,2.94,0.00,2022-07-26,2022-08-01,1
20220726,South,7.68,92.32,81.97,64.17,37.82,9.50,2022-07-26,2022-08-01,1
20220726,Northeast,50.54,49.46,21.07,2.80,0.00,0.00,2022-07-26,2022-08-01,1
20220719,West,32.22,67.78,51.50,38.61,20.17,4.46,2022-07-19,2022-07-25,1
20220719,Southeast,66.39,33.61,5.07,0.10,0.00,0.00,2022-07-19,2022-07-25,1
20220719,Midwest,56.81,43.19,16.62,6.63,0.57,0.00,2022-07-19,2022-07-25,1
20220719,High Plains,27.46,72.54,54.54,26.93,7.13,0.45,2022-07-19,2022-07-25,1
20220719,South,7.35,92.65,79.33,55.66,29.66,10.30,2022-07-19,2022-07-25,1
20220719,Northeast,52.72,47.28,22.42,1.21,0.00,0.00,2022-07-19,2022-07-25,1
20220712,High Plains,31.89,68.11,52.27,23.25,5.78,0.17,2022-07-12,2022-07-18,1
20220712,South,6.97,93.03,68.88,42.56,26.54,10.77,2022-07-12,2022-07-18,1
20220712,West,29.71,70.29,54.81,38.48,20.05,4.67,2022-07-12,2022-07-18,1
20220712,Southeast,57.74,42.26,12.97,0.10,0.00,0.00,2022-07-12,2022-07-18,1
20220712,Midwest,56.72,43.28,16.90,1.67,0.28,0.00,2022-07-12,2022-07-18,1
20220712,Northeast,53.08,46.92,20.42,1.00,0.00,0.00,2022-07-12,2022-07-18,1
20220705,Southeast,36.54,63.46,27.10,4.59,0.00,0.00,2022-07-05,2022-07-11,1
20220705,High Plains,32.91,67.09,51.05,26.27,5.67,0.18,2022-07-05,2022-07-11,1
20220705,Midwest,49.06,50.94,15.02,1.47,0.28,0.00,2022-07-05,2022-07-11,1
20220705,South,16.45,83.55,58.41,36.59,23.86,8.23,2022-07-05,2022-07-11,1
20220705,West,28.25,71.75,55.94,40.45,21.62,4.05,2022-07-05,2022-07-11,1
20220705,Northeast,63.52,36.48,12.80,0.00,0.00,0.00,2022-07-05,2022-07-11,1
20220628,Northeast,70.69,29.31,7.46,0.00,0.00,0.00,2022-06-28,2022-07-04,1
20220628,Southeast,35.17,64.83,26.08,4.92,0.00,0.00,2022-06-28,2022-07-04,1
20220628,High Plains,32.20,67.80,53.24,26.83,5.63,0.21,2022-06-28,2022-07-04,1
20220628,South,18.43,81.57,54.88,36.84,23.59,8.19,2022-06-28,2022-07-04,1
20220628,West,27.54,72.46,55.94,40.52,21.69,4.09,2022-06-28,2022-07-04,1
20220628,Midwest,55.61,44.39,7.08,0.83,0.18,0.00,2022-06-28,2022-07-04,1
20220621,Northeast,82.62,17.38,2.38,0.00,0.00,0.00,2022-06-21,2022-06-27,1
20220621,Midwest,75.23,24.77,2.65,0.66,0.00,0.00,2022-06-21,2022-06-27,1
20220621,Southeast,50.80,49.20,17.15,2.57,0.00,0.00,2022-06-21,2022-06-27,1
20220621,South,30.02,69.98,49.72,36.79,23.66,8.84,2022-06-21,2022-06-27,1
20220621,West,25.52,74.48,55.13,40.81,24.51,6.85,2022-06-21,2022-06-27,1
20220621,High Plains,30.22,69.78,53.79,26.29,6.68,0.21,2022-06-21,2022-06-27,1
20220614,Southeast,67.61,32.39,11.79,2.49,0.00,0.00,2022-06-14,2022-06-20,1
20220614,Midwest,90.56,9.44,1.05,0.39,0.00,0.00,2022-06-14,2022-06-20,1
20220614,South,37.27,62.73,48.21,36.49,22.97,8.67,2022-06-14,2022-06-20,1
20220614,West,25.12,74.88,55.72,41.04,25.56,6.86,2022-06-14,2022-06-20,1
20220614,High Plains,30.48,69.52,53.77,24.55,7.32,0.21,2022-06-14,2022-06-20,1
20220614,Northeast,86.69,13.31,2.38,0.00,0.00,0.00,2022-06-14,2022-06-20,1
20220607,West,25.27,74.73,56.53,42.67,25.50,6.73,2022-06-07,2022-06-13,1
20220607,Northeast,85.65,14.35,2.23,0.00,0.00,0.00,2022-06-07,2022-06-13,1
20220607,Midwest,90.87,9.13,0.78,0.25,0.00,0.00,2022-06-07,2022-06-13,1
20220607,High Plains,26.41,73.59,59.08,26.61,7.83,0.34,2022-06-07,2022-06-13,1
20220607,Southeast,73.06,26.94,10.70,3.20,0.00,0.00,2022-06-07,2022-06-13,1
20220607,South,39.23,60.77,48.45,37.87,22.19,8.21,2022-06-07,2022-06-13,1
20220531,South,40.21,59.79,49.30,40.35,25.29,9.43,2022-05-31,2022-06-06,1
20220531,Midwest,90.15,9.85,0.78,0.25,0.00,0.00,2022-05-31,2022-06-06,1
20220531,West,31.91,68.09,58.47,46.02,25.41,6.40,2022-05-31,2022-06-06,1
20220531,High Plains,23.39,76.61,65.48,30.99,8.50,0.76,2022-05-31,2022-06-06,1
20220531,Southeast,75.48,24.52,10.41,3.05,0.00,0.00,2022-05-31,2022-06-06,1
20220531,Northeast,88.12,11.88,2.70,0.00,0.00,0.00,2022-05-31,2022-06-06,1
20220524,Northeast,84.88,15.12,2.24,0.00,0.00,0.00,2022-05-24,2022-05-30,1
20220524,High Plains,20.32,79.68,70.55,39.18,11.22,1.19,2022-05-24,2022-05-30,1
20220524,Midwest,88.65,11.35,0.78,0.25,0.00,0.00,2022-05-24,2022-05-30,1
20220524,South,35.72,64.28,49.89,40.80,26.44,11.54,2022-05-24,2022-05-30,1
20220524,West,34.15,65.85,59.09,48.56,25.96,6.49,2022-05-24,2022-05-30,1
20220524,Southeast,57.26,42.74,11.01,3.42,0.00,0.00,2022-05-24,2022-05-30,1
20220517,Northeast,85.14,14.86,1.12,0.00,0.00,0.00,2022-05-17,2022-05-23,1
20220517,South,34.21,65.79,52.79,44.05,34.33,15.96,2022-05-17,2022-05-23,1
20220517,High Plains,19.90,80.10,71.92,40.45,11.82,1.19,2022-05-17,2022-05-23,1
20220517,Southeast,48.15,51.85,16.28,3.71,0.00,0.00,2022-05-17,2022-05-23,1
20220517,West,35.32,64.68,60.52,48.71,24.75,4.87,2022-05-17,2022-05-23,1
20220517,Midwest,91.39,8.61,0.78,0.25,0.00,0.00,2022-05-17,2022-05-23,1
20220510,South,37.29,62.71,51.55,43.20,32.66,13.78,2022-05-10,2022-05-16,1
20220510,West,35.50,64.50,60.87,48.57,22.95,3.06,2022-05-10,2022-05-16,1
20220510,Southeast,61.56,38.44,16.24,3.05,0.00,0.00,2022-05-10,2022-05-16,1
20220510,Northeast,91.93,8.07,1.26,0.00,0.00,0.00,2022-05-10,2022-05-16,1
20220510,Midwest,91.18,8.82,0.78,0.25,0.00,0.00,2022-05-10,2022-05-16,1
20220510,High Plains,17.41,82.59,74.39,40.82,6.63,0.57,2022-05-10,2022-05-16,1
20220503,Midwest,88.69,11.31,1.47,0.31,0.00,0.00,2022-05-03,2022-05-09,1
20220503,West,35.07,64.93,61.20,48.77,20.52,3.09,2022-05-03,2022-05-09,1
20220503,Southeast,60.34,39.66,15.97,2.57,0.00,0.00,2022-05-03,2022-05-09,1
20220503,High Plains,15.86,84.14,75.08,42.43,7.31,0.41,2022-05-03,2022-05-09,1
20220503,Northeast,81.74,18.26,1.36,0.00,0.00,0.00,2022-05-03,2022-05-09,1
20220503,South,31.85,68.15,53.67,44.19,32.08,13.09,2022-05-03,2022-05-09,1
20220426,South,29.99,70.01,55.57,45.96,31.92,11.38,2022-04-26,2022-05-02,1
20220426,High Plains,14.33,85.67,75.36,47.03,11.67,0.44,2022-04-26,2022-05-02,1
20220426,Northeast,81.37,18.63,1.24,0.00,0.00,0.00,2022-04-26,2022-05-02,1
20220426,Southeast,65.03,34.97,15.99,2.73,0.00,0.00,2022-04-26,2022-05-02,1
20220426,Midwest,87.51,12.49,1.46,0.26,0.00,0.00,2022-04-26,2022-05-02,1
20220426,West,35.34,64.66,61.17,50.17,21.93,2.57,2022-04-26,2022-05-02,1
20220419,Northeast,81.37,18.63,1.24,0.00,0.00,0.00,2022-04-19,2022-04-25,1
20220419,West,36.19,63.81,60.48,50.18,22.47,1.93,2022-04-19,2022-04-25,1
20220419,Midwest,80.56,19.44,5.54,0.26,0.00,0.00,2022-04-19,2022-04-25,1
20220419,Southeast,64.81,35.19,14.50,2.07,0.00,0.00,2022-04-19,2022-04-25,1
20220419,South,28.00,72.00,59.67,47.36,33.13,9.29,2022-04-19,2022-04-25,1
20220419,High Plains,13.67,86.33,77.63,47.96,11.97,0.44,2022-04-19,2022-04-25,1
20220412,South,23.61,76.39,65.03,49.93,31.32,8.36,2022-04-12,2022-04-18,1
20220412,West,36.10,63.90,60.40,50.30,22.36,1.81,2022-04-12,2022-04-18,1
20220412,Southeast,60.92,39.08,14.85,2.04,0.00,0.00,2022-04-12,2022-04-18,1
20220412,High Plains,13.43,86.57,78.08,45.19,9.04,0.44,2022-04-12,2022-04-18,1
20220412,Midwest,79.22,20.78,6.79,0.26,0.00,0.00,2022-04-12,2022-04-18,1
20220412,Northeast,78.58,21.42,2.12,0.67,0.00,0.00,2022-04-12,2022-04-18,1
20220405,Midwest,74.05,25.95,7.31,0.26,0.00,0.00,2022-04-05,2022-04-11,1
20220405,West,36.03,63.97,60.38,50.00,20.77,1.71,2022-04-05,2022-04-11,1
20220405,Northeast,67.03,32.97,3.51,0.67,0.00,0.00,2022-04-05,2022-04-11,1
20220405,High Plains,13.31,86.69,78.12,44.73,7.58,0.33,2022-04-05,2022-04-11,1
20220405,Southeast,57.01,42.99,18.98,2.03,0.00,0.00,2022-04-05,2022-04-11,1
20220405,South,24.87,75.13,64.95,51.37,27.40,6.13,2022-04-05,2022-04-11,1
20220329,High Plains,13.17,86.83,77.88,45.24,8.01,0.33,2022-03-29,2022-04-04,1
20220329,Southeast,56.97,43.03,19.51,0.60,0.00,0.00,2022-03-29,2022-04-04,1
20220329,Midwest,70.69,29.31,10.21,0.34,0.00,0.00,2022-03-29,2022-04-04,1
20220329,Northeast,71.90,28.10,3.13,0.67,0.00,0.00,2022-03-29,2022-04-04,1
20220329,West,36.54,63.46,59.70,46.84,19.84,1.67,2022-03-29,2022-04-04,1
20220329,South,23.09,76.91,68.47,51.65,28.54,4.66,2022-03-29,2022-04-04,1
20220322,High Plains,13.29,86.71,75.79,39.44,7.64,0.29,2022-03-22,2022-03-28,1
20220322,Midwest,59.10,40.90,14.56,2.36,0.00,0.00,2022-03-22,2022-03-28,1
20220322,Southeast,55.50,44.50,16.47,0.48,0.00,0.00,2022-03-22,2022-03-28,1
20220322,South,21.99,78.01,69.65,52.92,27.72,4.17,2022-03-22,2022-03-28,1
20220322,Northeast,70.79,29.21,3.13,0.67,0.00,0.00,2022-03-22,2022-03-28,1
20220322,West,36.48,63.52,59.74,46.76,19.15,1.67,2022-03-22,2022-03-28,1
20220315,High Plains,9.69,90.31,79.65,46.18,7.99,0.29,2022-03-15,2022-03-21,1
20220315,Southeast,45.22,54.78,23.25,0.00,0.00,0.00,2022-03-15,2022-03-21,1
20220315,South,19.30,80.70,74.66,56.33,31.44,6.28,2022-03-15,2022-03-21,1
20220315,West,36.26,63.74,60.48,48.09,18.86,1.60,2022-03-15,2022-03-21,1
20220315,Northeast,73.37,26.63,2.78,0.67,0.00,0.00,2022-03-15,2022-03-21,1
20220315,Midwest,57.04,42.96,17.09,2.36,0.00,0.00,2022-03-15,2022-03-21,1
20220308,Midwest,57.04,42.96,17.60,2.10,0.00,0.00,2022-03-08,2022-03-14,1
20220308,High Plains,9.64,90.36,79.10,44.83,5.76,0.29,2022-03-08,2022-03-14,1
20220308,Southeast,36.53,63.47,24.02,0.43,0.00,0.00,2022-03-08,2022-03-14,1
20220308,Northeast,74.28,25.72,3.63,0.85,0.00,0.00,2022-03-08,2022-03-14,1
20220308,South,18.79,81.21,74.53,57.52,29.85,4.83,2022-03-08,2022-03-14,1
20220308,West,36.30,63.70,60.52,47.28,15.96,1.95,2022-03-08,2022-03-14,1
20220301,Northeast,82.27,17.73,2.04,0.85,0.00,0.00,2022-03-01,2022-03-07,1
20220301,Midwest,54.95,45.05,19.34,2.28,0.00,0.00,2022-03-01,2022-03-07,1
20220301,High Plains,9.47,90.53,79.26,43.78,6.11,0.02,2022-03-01,2022-03-07,1
20220301,Southeast,52.42,47.58,13.16,0.00,0.00,0.00,2022-03-01,2022-03-07,1
20220301,West,35.51,64.49,60.70,46.88,15.82,1.87,2022-03-01,2022-03-07,1
20220301,South,20.89,79.11,67.75,49.33,21.08,0.41,2022-03-01,2022-03-07,1
20220222,Midwest,55.15,44.85,18.94,2.28,0.00,0.00,2022-02-22,2022-02-28,1
20220222,South,20.67,79.33,66.88,46.80,20.22,0.39,2022-02-22,2022-02-28,1
20220222,High Plains,7.88,92.12,78.36,38.56,5.89,0.00,2022-02-22,2022-02-28,1
20220222,Northeast,82.28,17.72,2.04,0.85,0.00,0.00,2022-02-22,2022-02-28,1
20220222,Southeast,57.33,42.67,7.16,0.00,0.00,0.00,2022-02-22,2022-02-28,1
20220222,West,35.46,64.54,59.42,42.96,14.16,1.97,2022-02-22,2022-02-28,1
20220215,Southeast,71.64,28.36,1.63,0.00,0.00,0.00,2022-02-15,2022-02-21,1
20220215,Midwest,52.33,47.67,21.19,2.39,0.00,0.00,2022-02-15,2022-02-21,1
20220215,West,35.47,64.53,59.38,42.90,13.37,1.99,2022-02-15,2022-02-21,1
20220215,Northeast,82.28,17.72,2.04,0.85,0.00,0.00,2022-02-15,2022-02-21,1
20220215,High Plains,7.88,92.12,77.96,37.73,5.57,0.00,2022-02-15,2022-02-21,1
20220215,South,19.92,80.08,65.70,48.32,21.06,0.39,2022-02-15,2022-02-21,1
20220208,Northeast,81.36,18.64,2.04,0.85,0.00,0.00,2022-02-08,2022-02-14,1
20220208,High Plains,8.60,91.40,72.87,36.22,5.42,0.00,2022-02-08,2022-02-14,1
20220208,West,35.42,64.58,59.06,42.82,12.89,2.16,2022-02-08,2022-02-14,1
20220208,Midwest,54.94,45.06,18.39,1.97,0.00,0.00,2022-02-08,2022-02-14,1
20220208,South,22.01,77.99,64.86,45.39,19.40,0.39,2022-02-08,2022-02-14,1
20220208,Southeast,77.42,22.58,1.32,0.00,0.00,0.00,2022-02-08,2022-02-14,1
20220201,South,18.31,81.69,69.78,52.01,23.67,0.39,2022-02-01,2022-02-07,1
20220201,High Plains,9.05,90.95,66.11,36.24,6.99,0.00,2022-02-01,2022-02-07,1
20220201,West,35.46,64.54,59.05,42.83,13.14,2.16,2022-02-01,2022-02-07,1
20220201,Southeast,68.26,31.74,5.34,0.06,0.00,0.00,2022-02-01,2022-02-07,1
20220201,Northeast,81.59,18.41,2.04,0.85,0.00,0.00,2022-02-01,2022-02-07,1
20220201,Midwest,56.80,43.20,16.62,1.97,0.00,0.00,2022-02-01,2022-02-07,1
20220125,High Plains,9.71,90.29,65.88,36.28,7.37,0.00,2022-01-25,2022-01-31,1
20220125,Southeast,71.06,28.94,5.18,0.00,0.00,0.00,2022-01-25,2022-01-31,1
20220125,South,17.18,82.82,70.67,51.14,23.22,0.39,2022-01-25,2022-01-31,1
20220125,West,35.44,64.56,58.86,42.94,13.25,2.11,2022-01-25,2022-01-31,1
20220125,Midwest,61.09,38.91,15.64,2.07,0.00,0.00,2022-01-25,2022-01-31,1
20220125,Northeast,89.35,10.65,2.04,0.85,0.00,0.00,2022-01-25,2022-01-31,1
20220118,West,35.73,64.27,58.83,42.86,12.63,1.94,2022-01-18,2022-01-24,1
20220118,High Plains,11.74,88.26,65.34,35.58,6.79,0.00,2022-01-18,2022-01-24,1
20220118,South,17.10,82.90,68.96,49.85,20.13,0.27,2022-01-18,2022-01-24,1
20220118,Northeast,87.46,12.54,2.04,0.85,0.00,0.00,2022-01-18,2022-01-24,1
20220118,Southeast,65.13,34.87,8.42,0.00,0.00,0.00,2022-01-18,2022-01-24,1
20220118,Midwest,62.71,37.29,15.51,2.07,0.00,0.00,2022-01-18,2022-01-24,1
20220111,High Plains,11.87,88.13,64.29,34.19,8.58,0.00,2022-01-11,2022-01-17,1
20220111,West,35.72,64.28,58.83,42.80,13.66,2.10,2022-01-11,2022-01-17,1
20220111,Northeast,86.89,13.11,2.04,0.85,0.00,0.00,2022-01-11,2022-01-17,1
20220111,Southeast,55.97,44.03,15.68,0.76,0.00,0.00,2022-01-11,2022-01-17,1
20220111,South,16.94,83.06,65.32,46.97,17.38,0.00,2022-01-11,2022-01-17,1
20220111,Midwest,63.07,36.93,15.52,2.07,0.00,0.00,2022-01-11,2022-01-17,1
20220104,South,16.47,83.53,62.37,43.19,15.04,0.00,2022-01-04,2022-01-10,1
20220104,West,35.63,64.37,59.67,43.37,15.94,2.63,2022-01-04,2022-01-10,1
20220104,Northeast,84.91,15.09,2.17,0.85,0.00,0.00,2022-01-04,2022-01-10,1
20220104,Midwest,63.32,36.68,15.25,2.41,0.00,0.00,2022-01-04,2022-01-10,1
20220104,High Plains,12.84,87.16,64.81,34.56,8.63,0.00,2022-01-04,2022-01-10,1
20220104,Southeast,56.53,43.47,16.31,1.31,0.00,0.00,2022-01-04,2022-01-10,1
20211228,South,23.67,76.33,53.96,29.71,8.39,0.00,2021-12-28,2022-01-03,1
